elapsed time = 2.94 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 27.82 | seconds power is 13 | number of threads is 4 | block size is 16
elapsed time = 28.43 | seconds power is 14 | number of threads is 4 | block size is 16
elapsed time = 29.04 | seconds power is 15 | number of threads is 4 | block size is 16
elapsed time = 29.64 | seconds power is 16 | number of threads is 4 | block size is 16
elapsed time = 30.26 | seconds power is 2 | number of threads is 4 | block size is 32
elapsed time = 30.87 | seconds power is 3 | number of threads is 4 | block size is 32
elapsed time = 31.48 | seconds power is 4 | number of threads is 4 | block size is 32
elapsed time = 32.09 | seconds power is 5 | number of threads is 4 | block size is 32
elapsed time = 32.70 | seconds power is 6 | number of threads is 4 | block size is 32
elapsed time = 33.32 | seconds power is 7 | number of threads is 4 | block size is 32
elapsed time = 33.94 | seconds power is 8 | number of threads is 4 | block size is 32
elapsed time = 34.55 | seconds power is 9 | number of threads is 4 | block size is 32
elapsed time = 35.17 | seconds power is 10 | number of threads is 4 | block size is 32
elapsed time = 35.78 | seconds power is 11 | number of threads is 4 | block size is 32
elapsed time = 36.39 | seconds power is 12 | number of threads is 4 | block size is 32
elapsed time = 37.00 | seconds power is 13 | number of threads is 4 | block size is 32
elapsed time = 37.61 | seconds power is 14 | number of threads is 4 | block size is 32
elapsed time = 38.22 | seconds power is 15 | number of threads is 4 | block size is 32
elapsed time = 38.84 | seconds power is 16 | number of threads is 4 | block size is 32
elapsed time = 39.44 | seconds power is 2 | number of threads is 4 | block size is 64
elapsed time = 40.05 | seconds power is 3 | number of threads is 4 | block size is 64
elapsed time = 40.66 | seconds power is 4 | number of threads is 4 | block size is 64
elapsed time = 41.29 | seconds power is 5 | number of threads is 4 | block size is 64
elapsed time = 41.92 | seconds power is 6 | number of threads is 4 | block size is 64
elapsed time = 42.55 | seconds power is 7 | number of threads is 4 | block size is 64
elapsed time = 43.18 | seconds power is 8 | number of threads is 4 | block size is 64
elapsed time = 43.80 | seconds power is 9 | number of threads is 4 | block size is 64
elapsed time = 44.43 | seconds power is 10 | number of threads is 4 | block size is 64
elapsed time = 45.06 | seconds power is 11 | number of threads is 4 | block size is 64
elapsed time = 45.69 | seconds power is 12 | number of threads is 4 | block size is 64
elapsed time = 46.32 | seconds power is 13 | number of threads is 4 | block size is 64
elapsed time = 46.95 | seconds power is 14 | number of threads is 4 | block size is 64
elapsed time = 47.59 | seconds power is 15 | number of threads is 4 | block size is 64
elapsed time = 48.21 | seconds power is 16 | number of threads is 4 | block size is 64
1024 4 thread done
elapsed time = 0.58 | seconds power is 2 | number of threads is 6 | block size is 4
elapsed time = 1.15 | seconds power is 3 | number of threads is 6 | block size is 4
elapsed time = 1.72 | seconds power is 4 | number of threads is 6 | block size is 4
elapsed time = 2.29 | seconds power is 5 | number of threads is 6 | block size is 4
elapsed time = 2.86 | seconds power is 6 | number of threads is 6 | block size is 4
elapsed time = 3.43 | seconds power is 7 | number of threads is 6 | block size is 4
elapsed time = 4.00 | seconds power is 8 | number of threads is 6 | block size is 4
elapsed time = 4.57 | seconds power is 9 | number of threads is 6 | block size is 4
elapsed time = 5.13 | seconds power is 10 | number of threads is 6 | block size is 4
elapsed time = 5.71 | seconds power is 11 | number of threads is 6 | block size is 4
elapsed time = 6.27 | seconds power is 12 | number of threads is 6 | block size is 4
elapsed time = 6.84 | seconds power is 13 | number of threads is 6 | block size is 4
elapsed time = 7.41 | seconds power is 14 | number of threads is 6 | block size is 4
elapsed time = 7.98 | seconds power is 15 | number of threads is 6 | block size is 4
elapsed time = 8.54 | seconds power is 16 | number of threads is 6 | block size is 4
elapsed time = 9.06 | seconds power is 2 | number of threads is 6 | block size is 8
elapsed time = 9.58 | seconds power is 3 | number of threads is 6 | block size is 8
elapsed time = 10.09 | seconds power is 4 | number of threads is 6 | block size is 8
elapsed time = 10.61 | seconds power is 5 | number of threads is 6 | block size is 8
elapsed time = 11.12 | seconds power is 6 | number of threads is 6 | block size is 8
elapsed time = 11.64 | seconds power is 7 | number of threads is 6 | block size is 8
elapsed time = 12.15 | seconds power is 8 | number of threads is 6 | block size is 8
elapsed time = 12.66 | seconds power is 9 | number of threads is 6 | block size is 8
elapsed time = 13.18 | seconds power is 10 | number of threads is 6 | block size is 8
elapsed time = 13.69 | seconds power is 11 | number of threads is 6 | block size is 8
elapsed time = 14.21 | seconds power is 12 | number of threads is 6 | block size is 8
elapsed time = 14.72 | seconds power is 13 | number of threads is 6 | block size is 8
elapsed time = 15.24 | seconds power is 14 | number of threads is 6 | block size is 8
elapsed time = 15.75 | seconds power is 15 | number of threads is 6 | block size is 8
elapsed time = 16.27 | seconds power is 16 | number of threads is 6 | block size is 8
elapsed time = 16.77 | seconds power is 2 | number of threads is 6 | block size is 16
elapsed time = 17.26 | seconds power is 3 | number of threads is 6 | block size is 16
elapsed time = 17.76 | seconds power is 4 | number of threads is 6 | block size is 16
elapsed time = 18.26 | seconds power is 5 | number of threads is 6 | block size is 16
elapsed time = 18.75 | seconds power is 6 | number of threads is 6 | block size is 16
elapsed time = 19.25 | seconds power is 7 | number of threads is 6 | block size is 16
elapsed time = 19.74 | seconds power is 8 | number of threads is 6 | block size is 16
elapsed time = 20.24 | seconds power is 9 | number of threads is 6 | block size is 16
elapsed time = 20.73 | seconds power is 10 | number of threads is 6 | block size is 16
elapsed time = 21.23 | seconds power is 11 | number of threads is 6 | block size is 16
elapsed time = 21.73 | seconds power is 12 | number of threads is 6 | block size is 16
elapsed time = 22.22 | seconds power is 13 | number of threads is 6 | block size is 16
elapsed time = 22.71 | seconds power is 14 | number of threads is 6 | block size is 16
elapsed time = 23.20 | seconds power is 15 | number of threads is 6 | block size is 16
elapsed time = 23.68 | seconds power is 16 | number of threads is 6 | block size is 16
elapsed time = 24.21 | seconds power is 2 | number of threads is 6 | block size is 32
elapsed time = 24.72 | seconds power is 3 | number of threads is 6 | block size is 32
elapsed time = 25.23 | seconds power is 4 | number of threads is 6 | block size is 32
elapsed time = 25.75 | seconds power is 5 | number of threads is 6 | block size is 32
elapsed time = 26.26 | seconds power is 6 | number of threads is 6 | block size is 32
elapsed time = 26.77 | seconds power is 7 | number of threads is 6 | block size is 32
elapsed time = 27.29 | seconds power is 8 | number of threads is 6 | block size is 32
elapsed time = 27.80 | seconds power is 9 | number of threads is 6 | block size is 32
elapsed time = 28.32 | seconds power is 10 | number of threads is 6 | block size is 32
elapsed time = 28.83 | seconds power is 11 | number of threads is 6 | block size is 32
elapsed time = 29.35 | seconds power is 12 | number of threads is 6 | block size is 32
elapsed time = 29.86 | seconds power is 13 | number of threads is 6 | block size is 32
elapsed time = 30.37 | seconds power is 14 | number of threads is 6 | block size is 32
elapsed time = 30.89 | seconds power is 15 | number of threads is 6 | block size is 32
elapsed time = 31.40 | seconds power is 16 | number of threads is 6 | block size is 32
elapsed time = 31.91 | seconds power is 2 | number of threads is 6 | block size is 64
elapsed time = 32.42 | seconds power is 3 | number of threads is 6 | block size is 64
elapsed time = 32.93 | seconds power is 4 | number of threads is 6 | block size is 64
elapsed time = 33.45 | seconds power is 5 | number of threads is 6 | block size is 64
elapsed time = 33.96 | seconds power is 6 | number of threads is 6 | block size is 64
elapsed time = 34.47 | seconds power is 7 | number of threads is 6 | block size is 64
elapsed time = 34.98 | seconds power is 8 | number of threads is 6 | block size is 64
elapsed time = 35.49 | seconds power is 9 | number of threads is 6 | block size is 64
elapsed time = 36.00 | seconds power is 10 | number of threads is 6 | block size is 64
elapsed time = 36.51 | seconds power is 11 | number of threads is 6 | block size is 64
elapsed time = 37.02 | seconds power is 12 | number of threads is 6 | block size is 64
elapsed time = 37.53 | seconds power is 13 | number of threads is 6 | block size is 64
elapsed time = 38.04 | seconds power is 14 | number of threads is 6 | block size is 64
elapsed time = 38.55 | seconds power is 15 | number of threads is 6 | block size is 64
elapsed time = 39.06 | seconds power is 16 | number of threads is 6 | block size is 64
1024 6 thread done
elapsed time = 0.48 | seconds power is 2 | number of threads is 8 | block size is 4
elapsed time = 0.95 | seconds power is 3 | number of threads is 8 | block size is 4
elapsed time = 1.42 | seconds power is 4 | number of threads is 8 | block size is 4
elapsed time = 1.89 | seconds power is 5 | number of threads is 8 | block size is 4
elapsed time = 2.35 | seconds power is 6 | number of threads is 8 | block size is 4
elapsed time = 2.82 | seconds power is 7 | number of threads is 8 | block size is 4
elapsed time = 3.29 | seconds power is 8 | number of threads is 8 | block size is 4
elapsed time = 3.76 | seconds power is 9 | number of threads is 8 | block size is 4
elapsed time = 4.23 | seconds power is 10 | number of threads is 8 | block size is 4
elapsed time = 4.70 | seconds power is 11 | number of threads is 8 | block size is 4
elapsed time = 5.17 | seconds power is 12 | number of threads is 8 | block size is 4
elapsed time = 5.63 | seconds power is 13 | number of threads is 8 | block size is 4
elapsed time = 6.10 | seconds power is 14 | number of threads is 8 | block size is 4
elapsed time = 6.58 | seconds power is 15 | number of threads is 8 | block size is 4
elapsed time = 7.05 | seconds power is 16 | number of threads is 8 | block size is 4
elapsed time = 7.46 | seconds power is 2 | number of threads is 8 | block size is 8
elapsed time = 7.87 | seconds power is 3 | number of threads is 8 | block size is 8
elapsed time = 8.28 | seconds power is 4 | number of threads is 8 | block size is 8
elapsed time = 8.69 | seconds power is 5 | number of threads is 8 | block size is 8
elapsed time = 9.10 | seconds power is 6 | number of threads is 8 | block size is 8
elapsed time = 9.51 | seconds power is 7 | number of threads is 8 | block size is 8
elapsed time = 9.93 | seconds power is 8 | number of threads is 8 | block size is 8
elapsed time = 10.34 | seconds power is 9 | number of threads is 8 | block size is 8
elapsed time = 10.75 | seconds power is 10 | number of threads is 8 | block size is 8
elapsed time = 11.16 | seconds power is 11 | number of threads is 8 | block size is 8
elapsed time = 11.57 | seconds power is 12 | number of threads is 8 | block size is 8
elapsed time = 11.99 | seconds power is 13 | number of threads is 8 | block size is 8
elapsed time = 12.40 | seconds power is 14 | number of threads is 8 | block size is 8
elapsed time = 12.81 | seconds power is 15 | number of threads is 8 | block size is 8
elapsed time = 13.22 | seconds power is 16 | number of threads is 8 | block size is 8
elapsed time = 13.61 | seconds power is 2 | number of threads is 8 | block size is 16
elapsed time = 14.00 | seconds power is 3 | number of threads is 8 | block size is 16
elapsed time = 14.39 | seconds power is 4 | number of threads is 8 | block size is 16
elapsed time = 14.78 | seconds power is 5 | number of threads is 8 | block size is 16
elapsed time = 15.17 | seconds power is 6 | number of threads is 8 | block size is 16
elapsed time = 15.56 | seconds power is 7 | number of threads is 8 | block size is 16
elapsed time = 15.95 | seconds power is 8 | number of threads is 8 | block size is 16
elapsed time = 16.34 | seconds power is 9 | number of threads is 8 | block size is 16
elapsed time = 16.73 | seconds power is 10 | number of threads is 8 | block size is 16
elapsed time = 17.12 | seconds power is 11 | number of threads is 8 | block size is 16
elapsed time = 17.51 | seconds power is 12 | number of threads is 8 | block size is 16
elapsed time = 17.90 | seconds power is 13 | number of threads is 8 | block size is 16
elapsed time = 18.29 | seconds power is 14 | number of threads is 8 | block size is 16
elapsed time = 18.68 | seconds power is 15 | number of threads is 8 | block size is 16
elapsed time = 19.07 | seconds power is 16 | number of threads is 8 | block size is 16
elapsed time = 19.46 | seconds power is 2 | number of threads is 8 | block size is 32
elapsed time = 19.85 | seconds power is 3 | number of threads is 8 | block size is 32
elapsed time = 20.24 | seconds power is 4 | number of threads is 8 | block size is 32
elapsed time = 20.63 | seconds power is 5 | number of threads is 8 | block size is 32
elapsed time = 21.02 | seconds power is 6 | number of threads is 8 | block size is 32
elapsed time = 21.41 | seconds power is 7 | number of threads is 8 | block size is 32
elapsed time = 21.79 | seconds power is 8 | number of threads is 8 | block size is 32
elapsed time = 22.18 | seconds power is 9 | number of threads is 8 | block size is 32
elapsed time = 22.58 | seconds power is 10 | number of threads is 8 | block size is 32
elapsed time = 22.96 | seconds power is 11 | number of threads is 8 | block size is 32
elapsed time = 23.35 | seconds power is 12 | number of threads is 8 | block size is 32
elapsed time = 23.74 | seconds power is 13 | number of threads is 8 | block size is 32
elapsed time = 24.13 | seconds power is 14 | number of threads is 8 | block size is 32
elapsed time = 24.52 | seconds power is 15 | number of threads is 8 | block size is 32
elapsed time = 24.91 | seconds power is 16 | number of threads is 8 | block size is 32
elapsed time = 25.30 | seconds power is 2 | number of threads is 8 | block size is 64
elapsed time = 25.68 | seconds power is 3 | number of threads is 8 | block size is 64
elapsed time = 26.07 | seconds power is 4 | number of threads is 8 | block size is 64
elapsed time = 26.46 | seconds power is 5 | number of threads is 8 | block size is 64
elapsed time = 26.84 | seconds power is 6 | number of threads is 8 | block size is 64
elapsed time = 27.23 | seconds power is 7 | number of threads is 8 | block size is 64
elapsed time = 27.61 | seconds power is 8 | number of threads is 8 | block size is 64
elapsed time = 28.00 | seconds power is 9 | number of threads is 8 | block size is 64
elapsed time = 28.39 | seconds power is 10 | number of threads is 8 | block size is 64
elapsed time = 28.80 | seconds power is 11 | number of threads is 8 | block size is 64
elapsed time = 29.19 | seconds power is 12 | number of threads is 8 | block size is 64
elapsed time = 29.58 | seconds power is 13 | number of threads is 8 | block size is 64
elapsed time = 29.96 | seconds power is 14 | number of threads is 8 | block size is 64
elapsed time = 30.35 | seconds power is 15 | number of threads is 8 | block size is 64
elapsed time = 30.74 | seconds power is 16 | number of threads is 8 | block size is 64
1024 8 thread done
elapsed time = 0.48 | seconds power is 2 | number of threads is 10 | block size is 4
elapsed time = 0.97 | seconds power is 3 | number of threads is 10 | block size is 4
elapsed time = 1.52 | seconds power is 4 | number of threads is 10 | block size is 4
elapsed time = 2.00 | seconds power is 5 | number of threads is 10 | block size is 4
elapsed time = 2.48 | seconds power is 6 | number of threads is 10 | block size is 4
elapsed time = 2.96 | seconds power is 7 | number of threads is 10 | block size is 4
elapsed time = 3.45 | seconds power is 8 | number of threads is 10 | block size is 4
elapsed time = 3.93 | seconds power is 9 | number of threads is 10 | block size is 4
elapsed time = 4.41 | seconds power is 10 | number of threads is 10 | block size is 4
elapsed time = 4.89 | seconds power is 11 | number of threads is 10 | block size is 4
elapsed time = 5.38 | seconds power is 12 | number of threads is 10 | block size is 4
